Katerangan,bobot
ut2Lag5.to.1layhid17,-2.716999e+00
ut2Lag6.to.1layhid17,1.817741e+00
ut2Lag7.to.1layhid17,-6.053263e+00
ut2Lag8.to.1layhid17,-6.317474e-01
ut2Lag10.to.1layhid17,-5.630815e+00
ut2Lag11.to.1layhid17,6.105423e+00
ut2Lag18.to.1layhid17,-2.925422e-01

Intercept.to.1layhid18,-9.674244e-01
rt2Lag1.to.1layhid18,-1.598131e+00
rt2Lag2.to.1layhid18,-8.762272e-01
rt2Lag3.to.1layhid18,9.016943e-01
rt2Lag4.to.1layhid18,-2.596890e+00
rt2Lag7.to.1layhid18,8.588856e-01
rt2Lag9.to.1layhid18,-8.760632e-01
rt2Lag10.to.1layhid18,-8.234530e-02
ut2Lag1.to.1layhid18,2.062685e+00
ut2Lag2.to.1layhid18,-8.987984e-01
ut2Lag3.to.1layhid18,3.601280e-01
ut2Lag4.to.1layhid18,-6.436840e-02
ut2Lag5.to.1layhid18,-2.269785e+00
ut2Lag6.to.1layhid18,-5.574657e-01
ut2Lag7.to.1layhid18,1.498392e+00
ut2Lag8.to.1layhid18,-5.946056e+00
ut2Lag10.to.1layhid18,2.429983e+00
ut2Lag11.to.1layhid18,-2.754608e-01
ut2Lag18.to.1layhid18,-8.718665e-01

Intercept.to.1layhid19,1.335875e+00
rt2Lag1.to.1layhid19,2.784081e-01
rt2Lag2.to.1layhid19,1.075004e+00
rt2Lag3.to.1layhid19,6.542448e-01
rt2Lag4.to.1layhid19,-1.036158e+00
rt2Lag7.to.1layhid19,-3.204535e+00
rt2Lag9.to.1layhid19,-6.991095e-01
rt2Lag10.to.1layhid19,-4.027862e+00
ut2Lag1.to.1layhid19,-3.511963e+00
ut2Lag2.to.1layhid19,6.374193e-02
ut2Lag3.to.1layhid19,-7.976375e-01
ut2Lag4.to.1layhid19,2.551194e-01
ut2Lag5.to.1layhid19,-3.573383e-01
ut2Lag6.to.1layhid19,1.579347e+00
ut2Lag7.to.1layhid19,1.492824e+00
ut2Lag8.to.1layhid19,-1.183832e+00
ut2Lag10.to.1layhid19,-5.678136e-01
ut2Lag11.to.1layhid19,1.849935e+00
ut2Lag18.to.1layhid19,1.219238e-01

Intercept.to.y,1.813352e+00
1layhid1.to.y,-5.441887e+00
1layhid2.to.y,-5.383550e-01
1layhid3.to.y,-1.802221e+00
1layhid4.to.y,2.042348e+00
1layhid5.to.y,-9.875579e+00
1layhid6.to.y,3.739985e+00
1layhid7.to.y,-4.735092e+00
1layhid8.to.y,2.200966e+00
1layhid9.to.y,-1.516267e+00
1layhid10.to.y,-2.969365e+00
1layhid11.to.y,1.216101e+00
1layhid12.to.y,-6.575979e-01
1layhid13.to.y,-2.458279e+00
1layhid14.to.y,-2.405596e+00
1layhid15.to.y,-2.678541e+00
1layhid16.to.y,-8.293904e-01
1layhid17.to.y,6.022909e+00
1layhid18.to.y,-5.423271e+00
1layhid19.to.y,-5.058642e+00
